Page ID,Page Name,Disclaimer,Amount Spent (PLN)
213911122748997,Goodvalley,These ads ran without a disclaimer,4391
1715700672019998,LoveAir.pl,These ads ran without a disclaimer,4391
1077045142306060,Grzegorz Schetyna,Platforma Obywatelska RP,4371
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,4359
127953840552459,Waldemar Pawlak,PSL,4339
409540809590130,innogyGO,These ads ran without a disclaimer,4334
111994128873082,Sun Pro,Dominik Krause,4328
277892342334350,Akcja Demokracja,Akcja Demokracja,4313
505787423224273,Urszula Sara Zielińska,KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI,4243
148975835158813,analizy.pl,These ads ran without a disclaimer,4110
127619873953536,Stefczyk.info,Stefczyk.info,4105
934442959950906,Krajowa Izba Radców Prawnych,Krajowa Izba Radców Prawnych,4098
342956762998558,KlimatAlert,Wojciech Makowski,4063
391098174296294,se.pl,se.pl,3957
109290147401664,Polska Organizacja Handlu i Dystrybucji,Polska Organizacja Handlu i Dystrybucji,3946
104609701196973,Allex,Aleksander Jerzy Czerniewicz,3881
220473935337563,Gotard - Biuro Rachunkowe,These ads ran without a disclaimer,3881
1495480087399256,Jacek Ozdoba,KW Prawo i Sprawiedliwość,3877
590514511295079,Front Europejski,Medium: agencja reklamowa,3870
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,3852
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,3847
1472368726416137,Katarzyna Lubnauer,Koalicja Obywatelska PO .N iPL Zieloni,3844
111465470197991,Mateusz Morawiecki,Komitet Wyborczy Prawo i Sprawiedliwość,3817
176779452671759,Respro Polska,Jan Maciantowicz,3802
104180510955807,Magdalena Biejat,KW Sojusz Lewicy Demokratycznej,3790
330644215221,Bankier.pl,Bankier.pl,3787
32104614789,Greenpeace Polska,These ads ran without a disclaimer,3780
273401096844375,Karol Bielski,Komitet Wyborczy PSL,3748
345172606093631,Ekoparty.pl,Ekoparty,3736
896877697172150,Co dalej z Elektrownią Bełchatów?,ClientEarth - Prawnicy dla Ziemi,3735
1431092387136668,Jan Grabiec,KKW Koalicja Obywatelska PO .N iPL Zieloni,3728
311766890555,Fundacja Batorego,Fundacja Batorego,3716
100412623352304,Decathlon Polska,Decathlon Polska,3710
105569556147463,Wydawnictwo Akademickie Dialog,Wydawnictwo Akademickie Dialog,3702
128440100681377,Prawo dla ludzi,Prawo dla ludzi,3692
1406676512964411,Echo24,Echo24,3685
108494929216934,Marcin Kierwiński,KKW Koalicja Obywatelska PO .N iPL Zieloni,3618
533251443444200,Maciej Małecki,Maciej Małecki,3562
219531888249248,Daniel Putkiewicz,Daniel Putkiewicz,3516
100344868172671,Szkodaplus.pl,Szkodaplus,3511
930978763646427,Stanisław Tyszka - Kukiz'15,Komitet Wyborczy Wyborców KUKIZ15,3505
186282968121069,outfilm.pl,outfilm.pl,3475
107969160908903,UczciwaWycena.pl,Uczciwa Wycena,3421
147547541961576,Council of the European Union,Council of the European Union,3419
100276381956414,ESPC,These ads ran without a disclaimer,3403
105470187498041,Paweł Kasprzak,KWW Ruchu "Obywatele RP",3360
100384718193249,Bosak2020,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,3358
398212710221888,Stowarzyszenie "Z Siedzibą w Warszawie",Edyta Katarzyna Ołdak,3334
144808095552639,ING Polska,ING Polska,3327
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,3321
1008272836015784,Piotr Szymanek,Komitet Wyborczy Polskie Stronnictwo Ludowe,3306
904980706358533,Dodomuwszystko - akcesoria domowe,PMC,3297
405326618416,Parlament Europejski - Biuro w Polsce,Aleksander Jerzy Czerniewicz,3295
372341662829366,Onet Styl Życia,Onet Styl Życia,3290
108007439221136,jestem na pTAK!,jestem na pTAK!,3229
188972590657,Moto.pl,These ads ran without a disclaimer,3228
111036577086588,1971 zł Dla Opiekuna Dorosłej Osoby Niepełnosprawnej,Vestra,3219
28312410177,World Food Programme,These ads ran without a disclaimer,3216
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,3191
214542341898102,Wyższa Szkoła Bankowa w Warszawie,Wyższa Szkoła Bankowa w Warszawie,3177
231241783585661,Ibuprom,These ads ran without a disclaimer,3159
517037508369297,zrzutka.pl,zrzutka.pl,3158
385541738945328,Adam Traczyk,KW Wiosna Roberta Biedronia,3138
113729263331952,Bożena Przyłuska,KW Sojusz Lewicy Demokratycznej,3113
108566759302831,Cognitus Centrum Szkoleń,Cognitus Centrum Szkoleń,3093
277681892059,Janusz Korwin-Mikke,Willa Anielin sp. z o.o.,3088
148183311971804,Stanisław Żółtek,KW Kandydata na Prezydenta RP Stanisława Żółtka,3080
511921918843798,Fundacja Dorastaj z Nami,Fundacja Dorastaj z Nami,3078
104609701196973,Allex,Jacek Jan Szczepan,3075
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,3060
185265414715,Onet,Onet Wiadomości,3046
381003278691136,Szymon Hołownia,Fundacja Polska Od Nowa,3035
121388362246,Goldman Sachs,These ads ran without a disclaimer,3026
193417587881296,Royal Fashion,These ads ran without a disclaimer,3017
1661561520771145,Mindspace,These ads ran without a disclaimer,3009
116008286453057,Krzysztof Liedel #wimięzasad,KW Sojusz Lewicy Demokratycznej,3000
268366156599556,Krzysztof Gawkowski,KW Wiosna Roberta Biedronia,3000
256315804531636,NISSA,These ads ran without a disclaimer,2987
118084194963414,Kultura Liberalna,Kultura Liberalna,2985
1870187766453541,Charlotte Fashion,Łukasz Gancarz,2946
370319116027,Andrzej Halicki,Andrzej Halicki,2915
118309719575561,Coway Polska,Coway Polska,2913
1871210609840730,Inverter Fotowoltaika,Agnieszka Gryszkiewicz,2882
928240283878303,Konstanty Radziwiłł,Konstanty Radziwiłł,2880
1656188307998719,Mirosław Adam Orliński,Komitet wyborczy PSL,2878
121463431218853,NISSA,These ads ran without a disclaimer,2870
48391402694,Partia Zieloni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,2869
100384718193249,Bosak2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,2861
1921765004714518,Jacek Korwin-Mikke,Komitet Wyborczy Konfederacja Wolność i Niepodległość,2851
1246204728789474,Allegra,These ads ran without a disclaimer,2821
273260992765744,Róża Thun,Róża Thun,2810
495995863791948,Andrzej Kosztowniak,KW Prawo i Sprawiedliwość,2765
