Page ID,Page Name,Disclaimer,Amount Spent (PLN)
104609701196973,Allex,Jacek Jan Szczepan,2449
806882063036260,Adam Neumann,KWW Koalicja Dla Gliwic Zygmunta Frankiewicza,2426
268308437126726,Senator IX Kadencji Arkadiusz Grabowski,KW Prawo i Sprawiedliwość,2409
32104614789,Greenpeace Polska,These ads ran without a disclaimer,2397
934442959950906,Krajowa Izba Radców Prawnych,Krajowa Izba Radców Prawnych,2393
284219099021432,Polskie Zakłady Bukmacherskie,These ads ran without a disclaimer,2392
56024223012,Onet Wiadomości,Onet Wiadomości,2391
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,2380
627434390700275,Dawid Kostempski,KWW Koalicja Obywatelska Dawid Kostempski,2354
1657088194515068,Jarosław W. Lasecki,KKW Koalicja Obywatelska PO .N IPL Zieloni,2349
107969160908903,UczciwaWycena.pl,Uczciwa Wycena,2347
231241783585661,Ibuprom,These ads ran without a disclaimer,2325
414032578791702,Mirosław Suchoń - poseł na Sejm RP,KKW Koalicja Obywatelska PO .N iPL Zieloni,2325
1329073907225510,Andrzej Lekston,KW Sojusz Lewicy Demokratycznej,2288
318692712345138,Salvis Expert Twoja Elektrownia Słoneczna,These ads ran without a disclaimer,2281
221077284662,Kwartalnik Przekrój,Kwartalnik Przekrój,2248
1709231132633714,"Grzegorz Długi, adwokat, poseł VIII kadencji",Dariusz Witold Mierzwa,2242
1715700672019998,LoveAir.pl,These ads ran without a disclaimer,2222
144808095552639,ING Polska,ING Polska,2198
546477339126145,Gabriela Morawska-Stanecka,KW Sojusz Lewicy Demokratycznej,2191
253230254876460,Przemysław Drabek - Poseł na Sejm RP,KW Prawo i Sprawiedliwość,2173
1246204728789474,Allegra,These ads ran without a disclaimer,2151
419885311534823,Jarosław Gonciarz - Poseł na Sejm RP,KW Prawo i Sprawiedliwość,2143
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,2140
113372450015901,Rafał Adamczyk,"KW SOJUSZ LEWICY DEMOKRATYCZNEJ",2123
363474570925082,Jolanta Milas KP,Olaf Szymon Skibiński,2121
101751661613203,Adam Lutkowski,Adam Andrzej Lutkowski,2120
230754547069436,Michał Woś,Biuro Poselskie Michała Wosia,2117
100344868172671,Szkodaplus.pl,Szkodaplus,2108
121388362246,Goldman Sachs,These ads ran without a disclaimer,2095
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,2094
100384718193249,Bosak2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,2084
481009832080945,Carpatree,These ads ran without a disclaimer,2063
277681892059,Janusz Korwin-Mikke,Willa Anielin sp. z o.o.,2060
831495030528894,Maciej Gdula,KW Sojusz Lewicy Demokratycznej,2057
1870187766453541,Charlotte Fashion,Łukasz Gancarz,2056
108744527147358,Jarosław Marciniak,KKW Koalija Obywatelska PO .N IPL Zieloni,2037
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,Paweł Kobyliński - Poseł na Sejm RP - Koalicja Obywatelska,2033
531772040534886,Hity Sprzedaży,These ads ran without a disclaimer,2033
439822419795040,Nowoczesne Kobiety - Lelum.pl,These ads ran without a disclaimer,2028
287671955182458,Anna Karwot - Polityk,Cityboard Media Sp. z o.o.,2000
108007439221136,jestem na pTAK!,jestem na pTAK!,1995
186282968121069,outfilm.pl,outfilm.pl,1975
590514511295079,Front Europejski,Medium: agencja reklamowa,1960
1378760765743010,Karol Szymura - radny Miasta Rybnika,Komitet Wyborczy Prawo i Sprawiedliwość,1917
398824790221548,Marek Balt,Marek Balt,1913
897838423640166,Krzysztof Sitarski Poseł na Sejm RP,Krzysztof Serafin Sitarski,1904
904980706358533,Dodomuwszystko - akcesoria domowe,PMC,1875
113254780110790,Kajetan Gornig,Kajetan Gornig KWW Dla Gliwic Kajetan Gornig Dominik Dragon,1864
6243987495,Spotify,These ads ran without a disclaimer,1863
292640324174614,Hellozdrowie.pl,Hellozdrowie.pl,1859
182216700504,Wyborcza.pl Katowice,Gazeta Wyborcza,1851
132874990756518,techwish,www.TechWish.pl,1842
797920373599555,Joanna Sekuła Senator RP,KKW Koalicja Europejska PO PSL SLD .N Zieloni,1822
1516985451954279,Doradca Podatkowy Marta Niziołek,Marta Justyna Niziołek,1788
323540101461265,Fundacja Neuron+,Fundacja Neuron+,1776
1657088194515068,Jarosław W. Lasecki,These ads ran without a disclaimer,1752
798249970192065,Edukacja dla Dobrego Klimatu,Wojciech Makowski,1748
483104905124765,Tomasz Brzezina,Komitet Wyborczy Konfederacja Wolność i Niepodległość,1741
106464864246053,Polskie Zakłady Bukmacherskie - PZBuk,These ads ran without a disclaimer,1733
152431494900977,Polacy,Grzegorz Roman Granowski,1729
277892342334350,Akcja Demokracja,Akcja Demokracja,1725
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,1715
104086770978679,Marcin Kozik.,Finansowane ze środków - KW Prawo i Sprawiedliwość,1712
203675933025899,"Ministerstwo Kultury, Dziedzictwa Narodowego i Sportu",Ministerstwo Kultury i Dziedzictwa Narodowego,1695
729627343834501,Kialo,These ads ran without a disclaimer,1694
1485201818405979,Dorota Tobiszowska - Senator RP,Komitet Wyborczy Prawo i Sprawiedliwość na rzecz Kandydatki Doroty Tobiszowskiej,1694
84022354529,Radio ZET,Radio ZET,1668
627434390700275,Dawid Kostempski,Dawid Kostempski - kandydat na Senatora RP,1667
1754738967929886,Visual Production,These ads ran without a disclaimer,1665
770401946407523,Hypnotize Butik,Adam Jędrzejczak,1659
1651134325020296,iVoting,These ads ran without a disclaimer,1649
680067289102619,Krzysztof Król - Radny Miasta Tychy,These ads ran without a disclaimer,1633
128440100681377,Prawo dla ludzi,Prawo dla ludzi,1626
385046961963136,Łukasz Banaś - Strona oficjalna.,KKW Koalicja Obywatelska PO .N iPL Zieloni,1606
389501614452891,NaszaGazeta.info,These ads ran without a disclaimer,1581
341803579195956,Dom Współpracy Polsko-Niemieckiej,Dom Współpracy Polsko-Niemieckiej,1579
172103990044692,Laur- Polskie Ubranka dla Dzieci,Agata Markiewicz,1576
115883558423028,Volvo Car Poland,These ads ran without a disclaimer,1574
300281477438458,Piotr Kaliszewski - Radny Miasta Częstochowy,Piotr Bogusław Kaliszewski,1572
290084914752242,Jarosław Klimaszewski - Prezydent Bielska-Białej,These ads ran without a disclaimer,1563
