Page ID,Page Name,Disclaimer,Amount Spent (PLN)
1830591737192332,Arkadiusz Sikora Lewica,KW Sojusz Lewicy Demokratycznej,1819
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,1803
111465470197991,Mateusz Morawiecki,Komitet Wyborczy Prawo i Sprawiedliwość,1787
352783535465419,Bogatyński Alarm Smogowy,Stowarzyszenie Ekologiczne EKO-UNIA,1778
111036577086588,1971 zł Dla Opiekuna Dorosłej Osoby Niepełnosprawnej,Vestra,1778
567066860335135,Błękitny Węgiel,Błękitny Węgiel,1754
100344868172671,Szkodaplus.pl,Szkodaplus,1749
107912147632727,Głos Duszniczan,Maurycy Adam Graszewicz,1740
104609701196973,Allex,Jacek Jan Szczepan,1739
904980706358533,Dodomuwszystko - akcesoria domowe,PMC,1729
171382802698,Klub Jagielloński,Klub Jagielloński,1719
171114382968728,Anna Zalewska,Paweł Kociński,1705
104609701196973,Allex,Aleksander Jerzy Czerniewicz,1698
100384718193249,Bosak2020,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,1691
552661358110680,Krzysztof Kubów Sekretarz Stanu KPRM,These ads ran without a disclaimer,1677
198707160186977,Marek Łapiński - Koalicja Obywatelska w Sejmiku,KKW Koalicja Obywatelska PO .N iPL Zieloni,1670
203346419729099,Marzena Machałek,Komitet Wyborczy Prawo i Sprawiedliwość,1663
185265414715,Onet,Onet Wiadomości,1663
1870187766453541,Charlotte Fashion,Łukasz Gancarz,1643
284219099021432,Polskie Zakłady Bukmacherskie,These ads ran without a disclaimer,1640
277681892059,Janusz Korwin-Mikke,Willa Anielin sp. z o.o.,1624
1630226560577685,KC Investments,These ads ran without a disclaimer,1610
186282968121069,outfilm.pl,outfilm.pl,1606
1167071973306679,Joanna Augustynowska,KKW Koalicja Obywatelska PO .N IPL Zieloni,1604
108007439221136,jestem na pTAK!,jestem na pTAK!,1594
426735034064813,Parlament Europejski - Biuro we Wrocławiu,Parlament Europejski - Biuro we Wrocławiu,1588
101751661613203,Adam Lutkowski,Adam Andrzej Lutkowski,1577
231241783585661,Ibuprom,These ads ran without a disclaimer,1576
531772040534886,Hity Sprzedaży,These ads ran without a disclaimer,1572
481009832080945,Carpatree,These ads ran without a disclaimer,1556
148183311971804,Stanisław Żółtek,KW Kandydata na Prezydenta RP Stanisława Żółtka,1554
116261586437240,Biuro Poselskie Agnieszki Soin,Agnieszka Anna Soin,1531
121388362246,Goldman Sachs,These ads ran without a disclaimer,1522
299806416881809,Anatol Szpur,Anatol Szpur,1511
1246204728789474,Allegra,These ads ran without a disclaimer,1501
156477197853,Narodowe Forum Muzyki,Narodowe Forum Muzyki,1494
56024223012,Onet Wiadomości,Onet Wiadomości,1489
1868943953335518,Jacek Protasiewicz,Komitet Wyborczy Polskie Stronnictwo Ludowe,1487
590514511295079,Front Europejski,Medium: agencja reklamowa,1476
996526287073317,Mateusz Jędrachowicz,Mateusz Paweł Jędrachowicz,1474
328170794051845,KUKIZ15,Komitet Wyborczy Wyborców Kukiz'15,1447
1010947672386089,Pakiet Dla Ołbina,Fundacja Ładne Historie,1418
1529045140701706,Popieram Andrzeja Dudę,wdolnymslasku.com,1417
48034275355,EPP - European People's Party,EPP - European People's Party,1407
292640324174614,Hellozdrowie.pl,Hellozdrowie.pl,1405
