Page ID,Page Name,Disclaimer,Amount Spent (DKK)
350242375125258,Signe Munk,SF,4058
543377119182861,Grøn Forskel,These ads ran without a disclaimer,4055
163667717003000,Sundhedsmonitor,These ads ran without a disclaimer,4036
144328019308205,LivePro,LivePro,3953
162442507123145,folkekirken.dk,These ads ran without a disclaimer,3936
141378109375840,Bergur Larsson Løkke Rasmussen,Bergur Løkke Rasmussen,3895
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,3871
113555862534,SF Ungdom,SF Ungdom,3846
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer","Martin Merrild, formand i Landbrug & Fødevarer",3844
221153291386123,"Lars-Christian Brask, Venstre",Brask Lars-Christian,3838
1474475802570139,Borgen Late Night,These ads ran without a disclaimer,3836
2798719490153637,Kuzma Pavlov Jensen,Det Konservative Folkeparti,3794
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,3767
167018996755220,Den Blå Planet,Den Blå Planet,3752
1570552809858689,Tandlægeforeningen,Tandlægeforeningen,3738
143278246229601,Jacob Panton,Panton-Kristiansen Jacob Wislaw M,3730
214112085661044,Oatly,Oatly,3641
1830039373940039,Sara Vergo,Djøf,3635
611866328824046,Socialpædagogerne,Socialpædagogerne,3581
1945999435500667,Love Beauty and Planet DK,Unilever,3538
153347971489,"Jan Bjergskov Larsen, SF Folketingskandidat",Larsen Jan,3518
114562832552326,Josh Bjørkman Nye Borgerlige Slagelse,These ads ran without a disclaimer,3459
141366725876424,European Greens,European Greens,3458
691707047549076,Peter Skaarup,Dansk Folkeparti,3409
196338880852230,Our Fish,These ads ran without a disclaimer,3309
167504053262711,Kvindernes Sidste Arbejdsdag,"Kvindernes Sidste Arbejdsdag by HK, 3F, Teknisk Landsforbund, Socialpædagogerne, Djøf & Dansk Magisterforening",3293
303885753075453,Venstre Ringsted,These ads ran without a disclaimer,3262
165663090885071,Bio-tex,Biotex,3259
252460092159583,Bo trygt,These ads ran without a disclaimer,3252
1902044243366919,Stop HPV - bliv vaccineret,These ads ran without a disclaimer,3232
1876515479043369,Knud Vincents - Byrådspolitiker,Venstre i Slagelse,3210
435824063901789,Ghosthunters,These ads ran without a disclaimer,3210
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,3139
741255806000841,Skatteministeren,These ads ran without a disclaimer,3121
108178817716556,GROW Energy,WeMedia ApS,3111
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,3079
798227683607349,Louise Schack Elholm,These ads ran without a disclaimer,3059
1474030149527395,BullerBox,These ads ran without a disclaimer,3055
305932686202047,Caritas Danmark,Caritas Danmark,3046
624391997753870,Herreværelset,Steen Gerster,3046
2079502855459920,Charlotte Broman Mølbæk,SF,3039
372025753616,PFA Brug Livet Fonden,PFA Brug Livet Fonden,3026
206884319742541,VIN 121,Janus Brink,3022
56810821434,HK Privat,HK/Privat,3017
132344416862423,FOA,FOA,2987
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,2977
109219587109080,Bregnerød Landsby,These ads ran without a disclaimer,2965
194452460650048,Global Aktion,Global Aktion,2964
1820047164896630,Pernille Beckmann,Pernille Beckmann,2944
796368150399958,BDO Danmark,These ads ran without a disclaimer,2940
100493784938009,Danske Æg,Danske Æg,2935
104046157748423,Søren Johansen - Radikale Venstre Køge,Johansen Soeren,2933
1302282123270001,Movia Trafik,Trafikselskabet Movia,2916
416754568372426,Konservative Folkeparti i Køge Kommune,These ads ran without a disclaimer,2884
278806758891805,Gymnasieindsamler hos Røde Kors,Røde Kors,2842
276770505228,Folkekirkens Nødhjælp,These ads ran without a disclaimer,2831
