Page ID,Page Name,Disclaimer,Amount Spent (DKK)
1679159822318963,Maistic - Komposterbart & Plastfrit,Maistic - Komposterbart & Plastfrit,8908
106085439854417,Eniig,Eniig,8896
159764527386205,VoresMad.dk,Landbrug & Fødevarer,8797
2047554945456852,Climaider,RenSti,8743
66971052034,Hjerteforeningen,These ads ran without a disclaimer,8678
116227401722605,Dansk Flygtningehjælp,These ads ran without a disclaimer,8653
1877705062505422,Ren madglæde,These ads ran without a disclaimer,8598
321741538368636,Stram Kurs,These ads ran without a disclaimer,8504
133707013355759,Danner,These ads ran without a disclaimer,8474
487884384986692,Danske Bank,Danske Bank,8363
67220797992,Operation Dagsværk,Operation Dagsværk,8325
1964614710452668,MOOT,MOOT,8259
21465928829,"Venstre, Danmarks Liberale Parti",These ads ran without a disclaimer,8233
122469085070,Teknisk Landsforbund,Teknisk Landsforbund,8221
454724341400431,Grundfos,Grundfos,8138
495574610498853,Teach First Danmark,Teach First Danmark,8113
162525743793575,Ase,These ads ran without a disclaimer,8106
67571270393,Red Barnet,These ads ran without a disclaimer,8044
223690937691260,Falck Danmark,These ads ran without a disclaimer,7921
239624940212,HK Kommunal,HK Kommunal,7885
405892706501089,Med Israel for fred - MIFF Danmark,Rika Greenberg,7818
36730930417,Margrete Auken,SF,7805
113555862534,SF Ungdom,SF Ungdom,7792
555771057824100,Børne- og Undervisningsministeriet,Børne- og Undervisningsministeriet,7761
133615160025285,Rådet for Grøn Omstilling,Rådet for Grøn Omstilling,7648
141378109375840,Bergur Larsson Løkke Rasmussen,Bergur Løkke Rasmussen,7642
66971052034,Hjerteforeningen,Hjerteforeningen,7629
113241872062337,Skole og Forældre,Skole og Forældre,7629
167891603415958,Lederne,These ads ran without a disclaimer,7619
759082797552576,Folkekirkens Nødhjælps Genbrug,Folkekirkens Nødhjælp,7609
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,7579
255662998253921,Nils Sjøberg,Mogensen Carsten Lysbjerg,7572
172015929586612,Modstrøm - Spar på elregningen og skån miljøet,These ads ran without a disclaimer,7541
356061704407268,VELUX,VELUX,7313
1104859999606639,Alexander Grandt,Petersen Alexander Grandt,7285
163667717003000,Sundhedsmonitor,These ads ran without a disclaimer,7265
104560517780052,Klimafolkemødet,Middelfart Kommune,7252
366939412915,Din Sundhedsfaglige A-kasse - DSA,Din Sundhedsfaglige A-kasse - DSA,7232
718327901589937,Mette Thiesen,Nye Borgerlige,7204
764212570440726,Sampension,Sampension,7162
1830039373940039,Sara Vergo,Djøf,7151
657491824390744,Spring Copenhagen,These ads ran without a disclaimer,7130
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),DSU,7122
261377963890954,24syv,These ads ran without a disclaimer,7007
304706146621773,Johan Emil Rasmussen,Rasmussen Johan Emil,6998
116061635098137,Karina Lorentzen Dehnhardt,SF,6988
216311481960,Bill Gates,These ads ran without a disclaimer,6900
1474475802570139,Borgen Late Night,These ads ran without a disclaimer,6870
1539059469719876,Mogens Dall,Venstre Aabenraa,6767
631199173747090,Arbejdere I Bevægelse - VORES OK20,Arbejdere I Bevægelse - VORES OK20,6753
2088130821211883,EKF Danmarks Eksportkredit,EKF Danmarks Eksportkredit,6729
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,6700
2102867439939567,Business Esbjerg,Business Esbjerg,6677
100255467044528,Henning Hyllested,Enhedslisten,6677
804766666245937,Novo Nordisk Fonden,Novo Nordisk Fonden,6637
8611462388,Villy Søvndal,SF,6633
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,6628
259411291598741,Oceans2clean,Oceans2clean,6624
1970205296611415,Norlys,These ads ran without a disclaimer,6593
306991986917897,Familielandbruget,Familielandbruget,6538
543377119182861,Grøn Forskel,These ads ran without a disclaimer,6521
104023927005,NRGi,NRGi,6489
1104790642968068,Peter Seier Christensen,Nye Borgerlige,6478
334571029981175,DM og MA studerende,Dansk Magisterforening,6460
141366725876424,European Greens,European Greens,6388
252520351444054,Morten Østergaard,Radikale Venstre,6344
214112085661044,Oatly,Oatly,6330
539568842764605,Christoffer Aagaard Melson,Melson Christoffer Aagaard,6264
113848932505109,Karsten Fogde,SF Syddanmark,6227
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,6137
2798719490153637,Kuzma Pavlov Jensen,Det Konservative Folkeparti,6109
1222321351208863,Klaus Sandfeld,Klaus Jbw Sandfeld,6081
350242375125258,Signe Munk,SF,6033
2071183673144991,Pernille Weiss,These ads ran without a disclaimer,5984
278806758891805,Gymnasieindsamler hos Røde Kors,Røde Kors,5950
423838101331835,Dino Selimović,Selimovic Dino,5904
1945999435500667,Love Beauty and Planet DK,Unilever,5879
399210657232918,PlanBørnefonden,These ads ran without a disclaimer,5853
390925417751473,Erling Bonnesen,Erling Bonnesen,5843
441080882605897,SEAS-NVE Energi,Ørsted Danmark,5805
12458150929,Radikale Venstre,Radikale Venstre,5787
1570552809858689,Tandlægeforeningen,Tandlægeforeningen,5783
162442507123145,folkekirken.dk,These ads ran without a disclaimer,5757
346547929246195,Birgitte Vind,These ads ran without a disclaimer,5752
1704424023182897,Politiken Historie,Politiken Historie,5684
211175848943032,KFUKs Sociale Arbejde,KFUKs Sociale Arbejde,5597
1531922617113320,John Rasmussen,Rasmussen John,5593
165663090885071,Bio-tex,Biotex,5545
252460092159583,Bo trygt,These ads ran without a disclaimer,5494
495897290562507,Fagbladet 3F,Fagbladet 3F,5462
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom (DSU),5423
724960377529889,DF Vejle,Petersen Kenneth Fredslund,5407
183887801641951,Verdens Skove,These ads ran without a disclaimer,5401
196338880852230,Our Fish,These ads ran without a disclaimer,5376
1377441749244487,Rasmus Helveg Petersen,"Rasmus Helveg Petersen, Radikale Venstre",5372
167504053262711,Kvindernes Sidste Arbejdsdag,"Kvindernes Sidste Arbejdsdag by HK, 3F, Teknisk Landsforbund, Socialpædagogerne, Djøf & Dansk Magisterforening",5360
361528807267505,Researchkollektivet Redox,Researchkollektivet Redox,5315
109219587109080,Bregnerød Landsby,These ads ran without a disclaimer,5233
1493650460890885,Kenneth Fredslund Petersen - DF Folketingskandidat i Syd og SdrJylland,These ads ran without a disclaimer,5224
2110028705977423,Marie Krarup,These ads ran without a disclaimer,5221
741255806000841,Skatteministeren,These ads ran without a disclaimer,5220
759821337497406,Marlene Ambo-Rasmussen,These ads ran without a disclaimer,5208
301647537160818,En grønnere planet,Greenpeace Danmark,5159
633045860456492,Søren Peder Sørensen,Sørensen Søren Peder Stensgard,5123
435824063901789,Ghosthunters,These ads ran without a disclaimer,5025
767023836764074,Peter Rahbæk Juel,Nikolaj Saadat,5000
1480180505447696,Kolding - By & Havn i Balance,These ads ran without a disclaimer,4956
611866328824046,Socialpædagogerne,Socialpædagogerne,4900
483189488543763,Enhedslisten Kolding,These ads ran without a disclaimer,4899
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,4825
141469835910081,COWI,COWI,4783
1902044243366919,Stop HPV - bliv vaccineret,These ads ran without a disclaimer,4749
102000981581794,Compleo Health,Compleo Health,4711
253692938327792,Bjørn Brandenborg,Brandenborg Bjørn Bøje,4702
99632942471,Læger uden Grænser (MSF),These ads ran without a disclaimer,4672
144328019308205,LivePro,LivePro,4665
1351813504859326,GetBarry,These ads ran without a disclaimer,4633
372025753616,PFA Brug Livet Fonden,PFA Brug Livet Fonden,4550
100493784938009,Danske Æg,Danske Æg,4542
355083705048259,Gunner Poulsen,Poulsen Gunner Kjerulf,4520
97223458316,Frie,These ads ran without a disclaimer,4506
2241084689449200,Jakob Ville,Jakob Ville,4500
1522101171358705,Rasmus Henriksen,Henriksen Rasmus Peter,4465
45178758245,Bibelselskabet,Bibelselskabet,4452
132344416862423,FOA,FOA,4437
129335303834782,BL - Danmarks Almene Boliger,BL - Danmarks Almene Boliger,4430
402750609774750,Biofuel Express,Agdal Martin Sebastian,4430
196889620497930,Kristian Guldfeldt,Guldfeldt Kristian Siemons,4405
377070489810509,KRP.Fyn,Dyrn Gert,4330
264009771074617,Niels Fuglsang,Fuglsang Niels Peder Rindum,4324
732591266819090,Sammen er du stærkere,HK Danmark,4293
188466802851,Norstat Danmark,These ads ran without a disclaimer,4223
