Page ID,Page Name,Disclaimer,Amount Spent (DKK),Number of Ads in Library
152307371499138,Änglamark,Coop,55158,8
1995019340791443,Naser Khader,Naser Khader,55123,16
1830039373940039,Sara Vergo,Djøf,54840,211
189743007654,Gyldendal,Gyldendal,54572,30
46265612799,FDM,FDM,53930,44
460055244123143,Britt Bager,Bager Britt,53893,26
1039840406189567,Morten Klessen,Socialdemokratiet i Nordjylland,53892,72
331034483992282,Nick Zimmermann - Dansk Folkeparti,Zimmermann Nick,53620,173
319060951624796,BetterHome,Niels Kåre Bruun,53577,79
128483917218766,Verisure Danmark,These ads ran without a disclaimer,53482,2
119769598101853,Konservativ Ungdom,Konservativ Ungdom,53447,221
1952826148148615,Pengetanker by Danske Bank,Pengetanker by Danske Bank,52275,30
1751959911736210,Gitte Willumsen - Folketingskandidat for Venstre,Willumsen Gitte,52222,48
101354341782002,Red Omø Syd Havvindmøllepark,European Energy A/S,51947,8
12787473132,Berlingske,These ads ran without a disclaimer,51567,44
166984636671085,Dansk Metal,Dansk Metal,50550,210
456543851540778,Nordic Solar,Marta Karadottir,50233,21
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,50082,3
164752600281593,Joachim B. Olsen,Joachim B. Olsen,49182,63
924692171033381,"UNHCR, FN’s Flygtningeorganisation",UNHCR Danmark,49086,40
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskaer Pedersen,48862,81
1246666085407861,Karsten Hønge,SF,48549,91
1002755833225691,Linea Søgaard-Lidell,Søgaard-Lidell Linea,48072,52
309867232515766,Mette Abildgaard,Mette Abildgaard,47990,25
405892706501089,Med Israel for fred - MIFF Danmark,Rika Greenberg,47817,75
657491824390744,Spring Copenhagen,Spring Copenhagen,47804,38
1666889143631205,Drugstars,Claus Møldrup,47736,26
703754816720050,Grundfos DK A/S,Grundfos,47540,12
58140803787,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",47408,25
149221835677222,SMVdanmark,SMVdanmark,47325,96
116227401722605,Dansk Flygtningehjælp,These ads ran without a disclaimer,47248,156
216311481960,Bill Gates,These ads ran without a disclaimer,47109,9
108721937550160,Plastindustrien - Realistisk om plast,Jespersen Louise Brochner,46800,15
334571029981175,DM og MA studerende,Dansk Magisterforening,46422,82
36730930417,Margrete Auken,SF,46300,45
77745897680,FEMINA,Aller Media,46194,2
133707013355759,Danner,These ads ran without a disclaimer,45968,10
665216113917321,Rent Hero,These ads ran without a disclaimer,45942,2
33510214383,Pia Kjærsgaard,Dansk Folkeparti,45936,32
735535959817481,Rotary Distrikt 1440,Rotary Distrikt 1440,45842,16
1550318855207094,Jens Meilvang,Meilvang Jens,45660,54
495574610498853,Teach First Danmark,Teach First Danmark,45184,160
1492391310793372,Ken Kristensen,Kristensen Ken,45115,246
101875098313543,Andel,Andel,45004,23
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,45002,16
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,These ads ran without a disclaimer,44974,30
133615160025285,Rådet for Grøn Omstilling,Rådet for Grøn Omstilling,44702,50
684016791662654,Christina Egelund,Liberal Alliance,44675,91
67220797992,Operation Dagsværk,Operation Dagsværk,44561,102
63503662682,Jyllands-Posten,These ads ran without a disclaimer,44355,27
142467658760,Foto I Glas,These ads ran without a disclaimer,44316,1
572838916149824,ARGO,ARGO,44264,14
2798719490153637,Kuzma Pavlov Jensen,Det Konservative Folkeparti,43728,9
141469835910081,COWI,COWI,43645,124
1653030171620285,Wefood,Folkekirkens Nødhjælp,43540,62
141378109375840,Bergur Larsson Løkke Rasmussen,Bergur Løkke Rasmussen,42737,70
63503662682,Jyllands-Posten,Jyllands-Posten,42378,32
804766666245937,Novo Nordisk Fonden,Novo Nordisk Fonden,41891,173
223690937691260,Falck Danmark,These ads ran without a disclaimer,41868,12
358828094665364,Mia Tang,Mia Tang,41829,67
172015929586612,Modstrøm - Spar på elregningen og skån miljøet,These ads ran without a disclaimer,41559,2
80717675854,Søstrene Grene,These ads ran without a disclaimer,40267,7
66971052034,Hjerteforeningen,These ads ran without a disclaimer,40264,3
