Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
107162597445468,Razvan Enescu,Razvan Enescu PLUS Prahova,42718,65
603874909641104,PNL Ilfov,Partidul Național Liberal Filiala Ilfov,42591,60
104675774450338,Alianța USR PLUS Suceava,PLUS Suceava,42232,81
1839598436128267,PRO România Mureș,PRO România Mureș,42184,112
698760586929790,USR Constanța,Uniunea Salvați România filiala Constanta,41781,34
684277412002641,Ramona Ioana Mezei,ALDE Sector 2 - Alianta Liberalilor si Democratilor,41405,57
128462147222633,Radio Fx Net,Radio Fx Net,41130,32
447787405313835,Dragos Benea,Dragos Benea,41127,203
828728423846906,Gabriel Mutu,PSD FILIALA SECTOR 6,40904,180
452093044903834,Radu Cristescu,PSD - Filiala Satu Mare,40719,133
215328865181171,Borboly Csaba,Borboly Csaba,40610,420
471764082950159,Sebastian Burduja,Sebastian Ioan Burduja,40533,69
242547063081884,Constanța în schimbare,Constanta in schimbare,40345,70
1658924257659048,USR Sector 3,USR Sector 3,39703,165
298765223557508,Ionel Arsene,PSD Neamt,39520,93
293215748279337,România fără PSD,Future Innovation,39455,38
101141368473321,Alianța Fripturiștilor,Partidul Social Democrat - Organizatia Judeteana Bacau,39385,34
102944558153946,Marius Mărgărit,Mitica-Marius Margarit,39161,77
1701562153421178,Senator Liviu Dumitru Voiculescu- Președinte PNL OLT,PNL Olt,38944,52
1653726584879481,Mihai Fifor,Psd Arad CMF 11200020,38922,251
344862328881749,Catalin Silegeanu,Catalin Silegeanu,38786,172
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,38315,42
153410991395492,Dr Adina Alberts,Adina Alberts - Partidul Bucuresti 2020,38157,65
269839123444413,Lucian Bernd Săuleanu,Lucian Săuleanu - USR PLUS,37785,60
1514760912172050,Marius Bodea,Marius Bodea,37718,364
1140001842686665,Petre Florin Manole,Partidul Social Democrat,37286,72
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,36868,70
107472810795416,Partidul Verde București-Ilfov,AMBI,36365,80
1585243028421258,PSD Prahova,PSD Prahova,36331,332
110661800329158,Valentin Ivancea,Partidul Social Democrat - Organizatia Judeteana Bacau,36276,44
2198387057107816,Nicoleta Ploscaru,Nicoleta Ploscaru,36149,367
309525925854654,Cristian Chirteș,PNL Mures,35742,63
1877390129210103,Demis Rusu,Rusu Demis,35712,82
362877977521642,Partidul Neamul Romanesc,Peia Ninel,35486,18
212588722543134,Tudor Polak,PNL Vaslui,35371,103
428872677299268,ALDE Sector 6,ALDE Sector 6,35357,75
116936411831925,Partidul Miscarea Populara Sector 3,Partidul Miscarea Populara Sector 3,35191,321
930651143735626,Vlad Emanuel Durus,Vlad Emanuel Durus - Deputat USR Maramureș,35000,143
416103301931791,Adrian Todoran Impreuna pentru Maramures,Adrian Todoran Deputat pentru Maramures,34503,170
1653726584879481,Mihai Fifor,Fifor Mihai,34405,680
1255037557904732,Florin Orțan,Ovidiu-Florin Ortan,34263,21
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,34053,47
526411640878009,USR Vaslui,Uniunea Salvați România,33937,172
960310370664830,Primăria Constanța,Evonomix,33777,133
1632266380355345,Victor Moraru,Victor Moraru - Pro Romania,33755,73
103886954451099,PRO Romania Municipiul Suceava,PRO Romania Suceava,33590,100
711270536151432,Amalia Nenovici,ALDE Sector 1 - Alianța Liberalilor și Democraților,33581,58
186052998083442,Robert Negoita,Robert Negoita - Partidul Bucuresti 2020,33579,46
451834231541982,Luminita Barcari,Arthur and Regents,33521,111
1616689388623828,George Muhscina,George Muhscina,33282,53
622715088387142,Florin Manea,Florin Manea - Partidul Bucuresti 2020,33212,85
421280451283707,PNL Sector 3,Bit Expert Serv SRL,33064,75
363974753693918,Cosmin Necula,PRO România - Organizația Județeană Bacău,32935,60
482604971767291,PNL Buzău,PNL Buzău,32924,233
104667664365097,Gabriel Avramescu,PNL Buzău,32882,45
1549073781993174,PNL Sector 5,Partidul Naţional Liberal,32849,353
430856153670593,Elena Basescu,Partidul Mișcarea Populară,32762,51
318703191616093,Doris  Rai,Doris Gabriela Rai,32728,177
231049990562077,Cătălin Cherecheș,Coalitia pentru Maramures,32685,24
1695902094040229,Mihai Botez - Deputat USR,Alianța USR PLUS,32402,120
1469610256621123,PNL Dambovita,Bazar Media Consulting,32373,89
729627343834501,Kialo,These ads ran without a disclaimer,32286,274
532706370130934,Partidul Mișcarea Populară Dâmbovița,PMP Dâmbovița,32231,25
979547832069760,PNL Galati,Branding Digital Strategy,32224,57
442867569065687,Mihail Neamtu,Partidul Miscarea Populara Sector 3,32140,25
115623656908513,Ioan Pitigoi,PMP Prahova,32102,328
110665943772240,Virgil Pirvulescu,PNL Filiala Vâlcea,31942,52
2177244962290894,PRO România,PRO România,31936,21
164276903939889,PSD Sibiu,Turcanu Catalin Nicolae,31827,110
1750234035208501,Adrian Mocanu,Mocanu Adrian,31594,56
299447630500100,Antonie Solomon,Antonie Solomon,31539,127
1572019133014738,Gabriel Toncean,Gabriel Toncean,31526,284
1415002928807791,PNL Arad,Vesmart SRL,31491,36
325161187517978,Marian Oprișan,Partidul Social Democrat - Filiala Vrancea,31485,55
1903580739951981,PLUS,PLUS,31388,52
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,31364,8
1238823992859020,Cornel Zainea,Cornel Zainea,31309,120
187133884725560,PNL Alba,PNL Alba,31105,441
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,30687,363
1010385432423828,Todaynews,Todaynews,30533,18
110665943772240,Virgil Pirvulescu,virgil pirvulescu,30518,175
795022763862618,Viorel Cataramă,Viorel Catarama,30481,31
181375448581167,Partidul Naţional Liberal,Future Innovation,30461,28
1852364238326923,Laura-Iuliana Scântei,PNL IASI,30426,138
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,30377,27
104218904688722,Hubert Thuma,Partidul Național Liberal,30366,57
1656475137918717,USR Sector 6,Uniunea Salvati Romania,30216,78
1460571894265803,USR Sector 5,Uniunea Salvați România,30138,235
101234161684006,Adrian Moraru,PNL Sector 3,30105,96
545470752223362,George Stângă,PNL Galati,29872,52
163943696987223,Ziarul Puterea,Ziarul Puterea,29846,185
100388498419647,Iulian Popescu,Iulian-Vasile Popescu,29673,162
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,29624,16
406827252696664,Claudiu-Iorga Palaz,Partidul Mișcarea Populară - Organizația Județeană Constanța,29587,33
111105537419564,Oana Murariu,"Partidul Libertate, Unitate și Solidaritate",29552,62
106704514303458,Știri de Sălaj,Știri de Sălaj,29438,25
170623543081668,Adrian Oros,Nechita-Adrian Oros,29344,253
254771308032377,Cosmin Andrei,Cosmin Andrei,29331,105
104877291323955,Darie Ștefan,Partidul National Liberal Filiala Ilfov,29317,23
110690456994830,Theodora Benedek,Partidul Național Liberal,29272,134
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,29251,8
686383221488491,PER Bucuresti,PER Bucuresti,29141,33
1067102103381405,PMP - Județul Buzău,PMP - Județul Buzău,29110,31
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,28973,51
1047658422027323,Dan Ivan,USR Maramureș,28842,101
117472339887099,Cristian Gentea,PSD Argeș,28813,35
241910409500962,Ruben Budău,PSD Arad CMF21200019,28720,270
706663502771254,USR Sector 2,Uniunea Salvați România,28566,78
174434106304018,USR Galați,Uniunea Salvați România,28507,290
107898832590939,European Commission,These ads ran without a disclaimer,28456,14
1801899166702042,PNL Brasov,PNL Brasov,28454,95
109716577272228,Alianța USR PLUS Bistrița-Năsăud,Alianța USR PLUS Bistrița-Năsaud,28334,77
321896004518929,Ioan Mang,Tild Consulting,28237,37
101247135032882,Dr. FILIP Constantin - Titian,FILIP Constantin Titian,28025,164
767582706713570,Allen Coliban,Uniunea Salvați România,28005,63
107679567729218,Ion Cupă,PMP Severin,27873,90
979547832069760,PNL Galati,PNL Galati,27850,174
101067171241323,Mihail David,PLUS Alba,27809,98
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,27720,11
104537314785431,Lucian Lungoci,Partidul Social Democrat Filiala Constanța - 11200020,27639,15
1557836147771248,Pavel Emilian,WeCreate Ads,27631,90
208694883781,Tudor - Tim Ionescu,ALDE Sector 6 - Alianta Liberalilor si Democratilor,27612,28
106810404209140,Vlad Voiculescu,PLUS Bucureşti,27535,72
1427831627527824,RMDSZ Bihar Megye,Heus Media Service,27349,321
110335290887293,Tit-Liviu Brăiloiu,Partidul Social Democrat Filiala Constanța - 11200020,27345,22
106305774176332,Andrei Plujar,USR Caraș-Severin,27324,36
1750327845246533,USR Maramureș,USR Maramureș,27315,43
220261894740674,Calin Buzgau,PRO România Mureș,27172,57
165467823513147,Alin Tișe,TMK Research Services,27158,16
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,27050,83
1572019133014738,Gabriel Toncean,PNL Mures,26848,26
113285397117325,Brian Cristian,PLUS Maramureș,26676,55
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",26650,51
105159391030852,Ovidiu Tanjala,Ovidiu Tanjala,26592,82
460424000818954,Marius Arcăleanu,Partidul Naţional Liberal,26515,48
1128229287275038,Silvia Dinică,Silvia Dinică,26489,158
1563137543927183,PNL Sector 4,PNL Sector 4,26413,76
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,26313,10
486358554821325,Sergiu Bîlcea,Sergiu Bîlcea,26257,232
434422389926419,PNL Sector 2,Partidul Naţional Liberal,26192,220
558660550980931,INFO NEAMȚ,INFO NEAMȚ,26136,129
505785196105852,Florian Bodog,Tild Consulting SRL,26073,37
363974753693918,Cosmin Necula,Cosmin Necula,25871,198
518360088519274,Cristache Cătălin,MUNTEANU MARIUS-CATALIN,25752,82
372155856222044,PSD ARAD,Psd Arad CMF 11200020,25742,297
473014883050399,Neculai Ontanu,Neculai Ontanu - Partid ADER Sector 2,25738,26
1415002928807791,PNL Arad,Gonzo Media,25662,116
434422389926419,PNL Sector 2,PNL sector 2,25630,84
321896004518929,Ioan Mang,WeCreate Ads,25483,44
215328865181171,Borboly Csaba,RMDSZ Csíki Területi Szervezet,25476,155
108723169291363,Daniel Suciu,Partidul Social Democrat,25438,43
174291436685142,Gabriel Valer Zetea,Amalia Babici-Man,25373,211
858367900895256,Alexandru Marius Dunca,PSD Brașov,25349,28
1145522045624751,Filip Havarneanu,USR Iași,25333,8
1656475137918717,USR Sector 6,Uniunea Salvati Romania Filiala Sector 6,25152,160
147547541961576,Council of the European Union,Council of the European Union,25060,237
100580925140105,Ion Iordache,PNL Gorj,25038,18
