Page ID,Page Name,Disclaimer,Amount Spent (CZK),Number of Ads in Library
232706386763290,Prague Boats,Prague Boats,36200,13
158106970909089,Zelení Pardubický kraj,Strana zelených,36103,67
100757088400842,Vladimír Železný,Trikolóra hnutí občanů,36095,16
137301989386,Aktuálně.cz,Aktuálně.cz,36016,36
106785184177769,Mikuláš Minář,"PRO ČR, z. s.",35763,40
282765711734893,Piráti - Moravskoslezský kraj,Dedek Jakub,35720,74
478284705683536,Mgr. Marek Šlapal,Boris Mičánek,35316,60
1617503995185096,Strana konzervativní pravice - ŘN - Karlovarský kraj,Michaela Rojtová,35305,58
318031131989977,Zelení Karlovarsko,Zelení,34973,14
694807680694998,Forum 24,These ads ran without a disclaimer,34952,2
240004189482300,"ANO, máme rádi Olomouc",wecreate media,34882,121
100101018463289,František Mencl,František Mencl,34826,10
559924231130371,Filip Smoljak,Filip Smoljak,34746,11
1711196282467418,David Štolpa - poslanec Parlamentu ČR,Štolpa David,34716,154
124596689571,Radio Wave,Český rozhlas,34143,20
1410403182565683,Petr Hladík,KDU-ČSL,34104,82
1403854226579308,Jiří Běhounek,ČSSD,34017,18
855121337981887,MUDr. Jiří Mašek,Jiří Doležal,33774,37
2692083230805240,Ivana Kerlesová,Ivana Kerlesová,33603,39
105266771277779,Iva Horká - kandidátka do Sněmovny,Nezávislá kandidátka,33470,43
1701718886552103,Moje Evropa,Moje Evropa,33163,175
162620837267478,Jan Bartošek,Jan Bartošek,33028,25
114241383643534,Rostislav Gromnica - kandidát do Senátu,Starostové a nezávislí • STAN,32961,6
101954531415600,Lukáš Vlček pro Vysočinu,Starostové pro Vysočinu,32871,72
282533341914650,Josef Jadrný,ČSSD,32844,15
103490157887634,Lubomír Traub,ODS,32737,29
551976351670874,Zdeněk Hraba - senátor,Kuba Patrik,32581,114
273367223021327,Veronika Vrecionová,Občanská demokratická strana,32369,43
523450094407778,Marek Ženíšek,TOP 09,32000,25
280617905401953,Alexandra Udženija,These ads ran without a disclaimer,31968,25
117313141613924,Plzeňský deník,Občanská demokratická strana,31959,6
403006353092651,ČSSD Středočeský kraj,ČSSD Středočeský kraj,31725,27
1900532106849242,Institute H21,Sova Miriam,31143,37
147547541961576,Council of the European Union,Council of the European Union,30928,237
105822804344879,Martin Klika,Miloš Štěpař,30844,15
339021716804527,Volime-Hynka-007,ODS - Občanská demokratická strana,30331,14
267806570729225,Národní Noviny,Hrubon Rudolf,30134,824
1148670675177299,Věslav Michalik,Starostové a nezávislí • STAN,30119,27
1562059410771351,Luboš Zálom,Luboš Zálom,30059,207
1317745511659715,Michaela Blahová,Miroslav Hanus,30006,111
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek,29822,51
810056782516469,Patrik Nacher,Patrik Nacher,29673,40
101756458187757,Jan Lipner,Starostové a nezávislí • STAN,29456,3
370583064327,Starostové a nezávislí • STAN,Starostové (STAN) s regionálními partnery a TOP 09,29364,15
108474950865581,KSČM pro Moravskoslezsko,Ivan Strachoň,29205,111
307998929294557,Změna pro lidi a pro krajinu,politické hnutí Změna,29164,35
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",29040,27
516035728771945,Klára Sovová,Klára Sovová,28726,39
707458719329186,STAN Praha,Stan Praha,28699,164
361212200669048,Koalice pro Plzeňský kraj,KDU-ČSL,28566,162
1675252432766963,David Pokorný - zastupitel města Brna,Soska Marek,28455,220
297228640376151,KP ČSSD Zlínsko,ČSSD,28428,22
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,28333,38
106891623334554,Adam Vojtěch,These ads ran without a disclaimer,28311,13
1442839675962291,Emilie Třísková,Uno Society s.r.o.,28000,6
219326964905229,Týdeník Euro,Týdeník Euro,27861,142
103938258002373,Jaromír Dědeček,Jiří Doležal,27847,50
202634290620318,Seventh Generation,Seventh Generation,27717,26
122036837883954,"CYRRUS, a.s.",These ads ran without a disclaimer,27570,4
1247185735414347,Tradeinfo,These ads ran without a disclaimer,27177,14
173305846086912,Jiří Čunek,KDU-ČSL,27096,63
454105955027334,Smart Lighting Solution,"Česká produkční SOCIAL MEDIA, s.r.o.",27000,15
203833483473,Deník Referendum,Deník Referendum,26814,144
1973919982632677,Petr Hlubuček,Starostové a nezávislí,26751,54
105350801296489,Šťovíček do Senátu,Jan Šťovíček,26728,64
766887550022665,"Jiří Carbol, starosta obce Dobrá",Sikora Marcel,26511,29
116938576359818,Dalibor Uhlíř - Trikolóra,These ads ran without a disclaimer,26453,13
103020631260626,Un viaggio a Bali,These ads ran without a disclaimer,26188,3
116903344995435,ODS Karlovarský kraj,Občanská demokratický strana,26184,40
101661881517806,Jaroslav Komínek,Jaroslav Komínek,26171,109
469612116404009,Enmag.cz,Jan Drahoš,26132,16
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,26104,37
34825122262,Časopis Reflex,Časopis Reflex,26017,22
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,25926,31
105258144421584,Adéla Šípová - senátorka za obvod Kladno,Česká pirátská strana,25849,24
100307671455380,Pražská Drbna,Pražská Drbna,25833,77
1754507148208767,pujckybezpecne.cz,Czech Financial Consulting s.r.o.,25694,12
123800669187640,Tereza Hyťhová - Trikolóra,Tereza Hyťhová,25613,139
30575632699,ODS - Občanská demokratická strana,These ads ran without a disclaimer,25500,10
108263350822320,Spectr salad,These ads ran without a disclaimer,25468,1
225296017595082,STAN Pardubický kraj,Starostové a nezávislí • STAN,25449,118
257529307701966,Jiří Pospíšil,These ads ran without a disclaimer,25351,40
102303404745971,Happy Planet - Travel,These ads ran without a disclaimer,25271,1
226207821151572,Marek Novák,Marek Novák,25246,113
747298122009066,Lumír Aschenbrenner,UNIWEB s.r.o.,25068,50
1036236793121965,Dan Ramzer,ODS - Občanská demokratická strana,25002,116
511497365600515,Markéta Pekarová Adamová,TOP 09,24666,49
66588246346,UNIQA Primátorky,These ads ran without a disclaimer,24512,27
