Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
2101744433422885,Marta Stożek,KW Sojusz Lewicy Demokratycznej,10330,50
240360349829878,Otvarta,These ads ran without a disclaimer,10324,1
2268238196629139,Techie Monster,These ads ran without a disclaimer,10304,1
1465965073732774,Łukasz Kohut,KW Wiosna Roberta Biedronia,10296,17
1642676212638790,Alicja Kaczorowska,Alicja Kaczorowska,10295,2
157416141112329,"FlexiPower Group - instalacje fotowoltaiczne, pompy ciepła",Marta Sobczak,10289,14
590514511295079,Front Europejski,Front Europejski,10245,43
107970887244599,Marek Rudnicki do Senatu,KW Prawo i Sprawiedliwość,10233,3
117352768274749,e-pity,e-pity,10131,61
902903449807433,SOVA Accounting,These ads ran without a disclaimer,10101,9
106682789378530,FALKON,FALKON,10095,7
101185701666967,Stop Milczeniu - stop pedofilii w kościele,Stop Milczeniu,10013,78
230115400471918,Sanatorium Sanus,These ads ran without a disclaimer,10011,4
1967695263556184,Sylwia Spurek,KW Wiosna Roberta Biedronia,10007,28
120246601382882,Centrum Organizacyjno-Koordynacyjne ds. Transplantacji "Poltransplant",Centrum Organizacyjno-Koordynacyjne ds. Transplantacji "Poltransplant",10000,1
1531198867144837,Sprite,Sprite,9989,1
77049287117,WPROST,WPROST,9934,284
1468635720112377,Bogusław Wontor,Bogusław Tadeusz Wontor,9925,182
171114382968728,Anna Zalewska,Grupa EKR - Anna Zalewska MEP,9903,11
199446073725474,BohaterON,BohaterON,9900,63
959387840744974,Bezpartyjni Samorządowcy,Fundacja Bezpartyjni i Samorządowcy,9897,53
427996317730040,"Tymoteusz Myrda, Członek Zarządu Województwa Dolnośląskiego",Komitet Wyborczy Wyborców Koalicja Bezpartyjni i Samorządowcy,9886,12
1100158536843507,Andrzej Gut-Mostowy,KW PRAWO I SPRAWIEDLIWOŚĆ,9843,26
75571183641,Janusz Lewandowski,KKW Koalicja Europejska PO PSL SLD N Zieloni,9823,29
831495030528894,Maciej Gdula,KW Wiosna Roberta Biedronia,9781,11
2358315530860033,Obieg Przyszłości,Obieg Przyszłości,9770,63
541568909232306,Federacja Konsumentów,Federacja Konsumentów,9762,1
110491392351511,LINK4,LINK4,9759,26
841731289267683,Tomasz Cimoszewicz,KKW Koalicja Obywatelska PO .N iPL Zieloni,9742,8
311766890555,Fundacja Batorego,Fundacja Batorego,9741,86
165042683632090,Artur E. Dziambor,partia Wolność,9714,23
592154920826245,Gosh Copenhagen Polska,Piotr Michalak,9690,7
